fold,held_out_sample,held_out_cut,train_count,val_count,test_count,train_class_counts,val_class_counts,test_class_counts,train_fresh_count,val_fresh_count,test_fresh_count,train_not_fresh_count,val_not_fresh_count,test_not_fresh_count,train_spoiled_count,val_spoiled_count,test_spoiled_count
fold1,pork_shoulder_sample_1,shoulder,1161,205,485,"{""fresh"": 359, ""not fresh"": 386, ""spoiled"": 416}","{""fresh"": 63, ""not fresh"": 68, ""spoiled"": 74}","{""fresh"": 157, ""not fresh"": 158, ""spoiled"": 170}",359,63,157,386,68,158,416,74,170
fold2,pork_shoulder_sample_2,shoulder,1187,210,454,"{""fresh"": 361, ""not fresh"": 397, ""spoiled"": 429}","{""fresh"": 64, ""not fresh"": 70, ""spoiled"": 76}","{""fresh"": 154, ""not fresh"": 145, ""spoiled"": 155}",361,64,154,397,70,145,429,76,155
fold3,pork_belly_sample_3,belly,1199,212,440,"{""fresh"": 392, ""not fresh"": 385, ""spoiled"": 422}","{""fresh"": 69, ""not fresh"": 68, ""spoiled"": 75}","{""fresh"": 118, ""not fresh"": 159, ""spoiled"": 163}",392,69,118,385,68,159,422,75,163
fold4,pork_belly_sample_4,belly,1172,207,472,"{""fresh"": 364, ""not fresh"": 393, ""spoiled"": 415}","{""fresh"": 65, ""not fresh"": 69, ""spoiled"": 73}","{""fresh"": 150, ""not fresh"": 150, ""spoiled"": 172}",364,65,150,393,69,150,415,73,172
