fold_name,seed,h5_size_mb,tflite_size_mb,inference_mean_ms_per_image,inference_std_ms_per_image
fold1,42,4.735282897949219,3.8665237426757812,1.9696915166668987,0.15901958705126182
fold1,123,4.735282897949219,3.8665237426757812,2.065890816666676,0.05919571866843349
fold1,2026,4.735282897949219,3.8665237426757812,2.1748957500000565,0.013678418823666683
fold2,42,4.735282897949219,3.8665237426757812,2.4898224499999437,0.035780994416147745
fold2,123,4.735282897949219,3.8665237426757812,2.422655383333525,0.01810027865694831
fold2,2026,4.735282897949219,3.8665237426757812,2.597297783333488,0.1501260195042596
fold3,42,4.735282897949219,3.8665237426757812,2.434967876447849,0.05627236634873789
fold3,123,4.735282897949219,3.8665237426757812,2.5128077799224533,0.08337445847284779
fold3,2026,4.735282897949219,3.8665237426757812,2.687241447876525,0.27319014941229947
fold4,42,4.735282897949219,3.8665237426757812,2.5496719636364356,0.013142659555089704
fold4,123,4.735282897949219,3.8665237426757812,2.754523763636495,0.02346489905198085
fold4,2026,4.735282897949219,3.8665237426757812,2.735831018181092,0.020452469122040597
fold5,42,4.735282897949219,3.8665237426757812,2.919495083333156,0.09307299491626475
fold5,123,4.735282897949219,3.8665237426757812,2.8053121500000393,0.04096837463214905
fold5,2026,4.735282897949219,3.8665237426757812,3.141205566666637,0.03236727833283228
fold6,42,4.735282897949219,3.8665237426757812,3.2055835333333866,0.29774556361208615
fold6,123,4.735282897949219,3.8665237426757812,3.1838826499997595,0.06423899668949681
fold6,2026,4.735282897949219,3.8665237426757812,3.462334033333415,0.10703402386540385
