held_out_cut,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,top_2_accuracy_mean,top_2_accuracy_std,adjacent_accuracy_mean,adjacent_accuracy_std,severe_error_rate_mean,severe_error_rate_std,mean_absolute_ordinal_error_mean,mean_absolute_ordinal_error_std,borderline_rate_mean,borderline_rate_std,low_confidence_rate_mean,low_confidence_rate_std,adjacent_pair_combined_confidence_mean_mean,adjacent_pair_combined_confidence_mean_std,non_adjacent_top2_rate_mean,non_adjacent_top2_rate_std
belly,0.6415490815490815,0.057037966082899315,0.6262935047903156,0.07621660458759039,0.6707344632768363,0.053534282807063294,0.6123322056329231,0.07079359837034327,0.9086357786357787,0.027540949450401187,0.9757575757575757,0.02661427359949264,0.024242424242424242,0.026614273599492626,0.3826933426933427,0.07892799728112657,0.6180706680706681,0.12089541921233925,0.20322218322218322,0.06498450961099665,0.9439003888264876,0.014481304259047274,0.06863694863694864,0.04715131364346378
ham,0.4305555555555556,0.11246069272153458,0.47040050508355374,0.18757767681549928,0.4305555555555555,0.11246069272153454,0.3362466311760721,0.16770783440832382,0.8394444444444445,0.11608745107157918,0.8161111111111111,0.09045973116786808,0.18388888888888888,0.09045973116786807,0.7533333333333333,0.11086528361534602,0.4594444444444445,0.2338795194745141,0.13277777777777777,0.08155207379791601,0.9241720516140957,0.020167183784897125,0.17305555555555555,0.1719929477451738
shoulder,0.6191666666666668,0.05086747487343954,0.6135828205027202,0.188191890536173,0.6191666666666666,0.05086747487343954,0.5225002117899146,0.0443380496662034,0.7438888888888888,0.12170851639455214,0.8519444444444444,0.12320451230312894,0.14805555555555555,0.12320451230312894,0.5288888888888889,0.16088528234140645,0.635,0.04566788319547512,0.14833333333333334,0.046595183346684145,0.9219680523497389,0.03236151872028391,0.21388888888888888,0.1542712858234792
