phase,epoch_in_phase,loss,accuracy,val_loss,val_accuracy,val_f1_macro,lr
head,1,0.8553962111473083,0.6244263648986816,0.4265574812889099,0.868686854839325,0.8683141071200774,0.0005
head,2,0.4791715741157532,0.803671658039093,0.2922465205192566,0.9076479077339172,0.9070739031714642,0.0005
head,3,0.3814846873283386,0.8452320694923401,0.2680996358394623,0.8975468873977661,0.899458013471716,0.0005
head,4,0.33070990443229675,0.8694543838500977,0.20902830362319946,0.920634925365448,0.9209763622237084,0.0005
head,5,0.30250051617622375,0.8834778666496277,0.1898522973060608,0.9307359457015991,0.9314166571812706,0.0005
head,6,0.2590198218822479,0.9028557538986206,0.15512554347515106,0.9494949579238892,0.9500101455747753,0.0005
head,7,0.23264211416244507,0.9112697839736938,0.1552455574274063,0.9365079402923584,0.9371836109319186,0.0005
head,8,0.2408493459224701,0.9033656716346741,0.14779597520828247,0.9422799348831177,0.9426491016822851,0.0005
fine,1,0.2244386076927185,0.9135645627975464,0.1455964297056198,0.9408369660377502,0.9415995305221099,1e-05
fine,2,0.2060067355632782,0.9235084652900696,0.14499129354953766,0.9451659321784973,0.9458208071088796,1e-05
fine,3,0.21891769766807556,0.9122896790504456,0.14322717487812042,0.9466089606285095,0.9472144015919085,1e-05
fine,4,0.2108898162841797,0.9204487800598145,0.14210359752178192,0.9466089606285095,0.9472144015919085,1e-05
fine,5,0.20474481582641602,0.9186639785766602,0.14120709896087646,0.9466089606285095,0.9472144015919085,1e-05
fine,6,0.20520363748073578,0.9194288849830627,0.1408107727766037,0.9466089606285095,0.9472144015919085,5e-06
fine,7,0.20777879655361176,0.9173891544342041,0.13952293992042542,0.9466089606285095,0.9472144015919085,5e-06
