fold_name,seed,h5_size_mb,tflite_size_mb,inference_mean_ms_per_image,inference_std_ms_per_image
fold1,42,4.735298156738281,3.879825592041016,1.0975777833330844,0.029558107893049
fold1,123,4.735298156738281,3.879825592041016,1.0976870999996513,0.0788130426790367
fold1,2026,4.735298156738281,3.879825592041016,1.094886116666809,0.0492368175261354
fold2,42,4.735298156738281,3.879825592041016,1.072322433333587,0.0480903623392037
fold2,123,4.735298156738281,3.879825592041016,1.0729140666665749,0.0419963519610727
fold2,2026,4.735298156738281,3.879825592041016,1.1092157000011866,0.0672579755123886
fold3,42,4.735298156738281,3.879825592041016,1.1988355791498138,0.07982807908627
fold3,123,4.735298156738281,3.879825592041016,1.113433030888321,0.0338869249165394
fold3,2026,4.735298156738281,3.879825592041016,1.1428864864866022,0.0933962865773517
fold4,42,4.735298156738281,3.879825592041016,1.1421726181824026,0.0866642378400693
fold4,123,4.735298156738281,3.879825592041016,1.2462014181817889,0.0977236101525417
fold4,2026,4.735298156738281,3.879825592041016,1.1831564727277013,0.0786364796634415
fold5,42,4.735298156738281,3.879825592041016,1.2308609166666429,0.0888858427563981
fold5,123,4.735298156738281,3.879825592041016,1.1557083333330715,0.0764634785797554
fold5,2026,4.735298156738281,3.879825592041016,1.130349383334154,0.058015263967024
fold6,42,4.735298156738281,3.879825592041016,1.1449230000001385,0.0808641427740976
fold6,123,4.735298156738281,3.879825592041016,1.1386178666668154,0.0732086133826768
fold6,2026,4.735298156738281,3.879825592041016,1.1415722666670265,0.0711908362314787
fold7,42,4.735298156738281,3.879825592041016,1.7574405118837313,1.8744957940033755
fold7,123,4.735298156738281,3.879825592041016,1.1526380987205609,0.1052950238174523
fold7,2026,4.735298156738281,3.879825592041016,1.20884568555824,0.1338246822656808
fold8,42,4.735298156738281,3.879825592041016,1.11143739999928,0.0957942507025772
fold8,123,4.735298156738281,3.879825592041016,1.1120574499991562,0.0767753896555369
fold8,2026,4.735298156738281,3.879825592041016,1.1199030833337624,0.0503521877730801
