held_out_cut,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,top_2_accuracy_mean,top_2_accuracy_std,adjacent_accuracy_mean,adjacent_accuracy_std,severe_error_rate_mean,severe_error_rate_std,mean_absolute_ordinal_error_mean,mean_absolute_ordinal_error_std,borderline_rate_mean,borderline_rate_std,low_confidence_rate_mean,low_confidence_rate_std,adjacent_pair_combined_confidence_mean_mean,adjacent_pair_combined_confidence_mean_std,non_adjacent_top2_rate_mean,non_adjacent_top2_rate_std
belly,0.7015139815139815,0.10662081540432101,0.7223441980696986,0.10576994542653863,0.6923697426239799,0.13209310454417167,0.6782881176408123,0.13271580850621584,0.9391903591903592,0.020138828794854097,0.9694758394758395,0.017155050954655162,0.030524160524160484,0.01715505095465508,0.329010179010179,0.0999335904397824,0.7684228384228384,0.1498448745857826,0.21481104481104477,0.14325704953779192,0.9602242304155221,0.01582822338971004,0.07490347490347486,0.05774770779791985
ham,0.49527777777777776,0.18442227109021864,0.41504629925839964,0.33326895987168,0.49527777777777776,0.18442227109021864,0.40621684475465236,0.26718533376840203,0.8741666666666666,0.04612483062299525,0.9225,0.09112720047640364,0.07749999999999999,0.09112720047640367,0.5822222222222222,0.13980409573823357,0.5388888888888889,0.1986976113111095,0.12638888888888886,0.11375615571459405,0.9520488133960701,0.03400142631566558,0.17277777777777772,0.1902649225178954
loin,0.5413614665854154,0.05665020966341958,0.4613865092924246,0.04196592187074708,0.5328420256991685,0.0660784739360617,0.45736924519593436,0.028900008101586216,0.8081743855372739,0.08037460182405348,0.9222267926061344,0.013506829754091855,0.0777732073938655,0.01350682975409189,0.5364117408084501,0.06283929059930513,0.49332165346333534,0.14868718674819392,0.172647775746496,0.08676631008308795,0.9321745085275227,0.017133474996718728,0.21566169002640664,0.08664323005382943
shoulder,0.5952777777777778,0.11959847948990109,0.5823108217203116,0.20244265507212778,0.5952777777777778,0.11959847948990109,0.5595120208887346,0.13723490712371486,0.7769444444444443,0.16823732135378364,0.8430555555555556,0.09037832008142625,0.15694444444444441,0.09037832008142628,0.5616666666666666,0.2084359747153921,0.7608333333333333,0.05497221520408694,0.29277777777777775,0.030489828297805006,0.9158570171330136,0.0069525028528752185,0.09527777777777774,0.03740791162109764
