fold_name,seed,label,precision,recall,f1,support
fold1,42,fresh,0.9894736842105264,0.47,0.6372881355932203,200
fold1,42,not fresh,0.6495327102803738,0.695,0.6714975845410628,200
fold1,42,spoiled,0.6872852233676976,1.0,0.814663951120163,200
fold1,123,fresh,1.0,0.375,0.5454545454545454,200
fold1,123,not fresh,0.697560975609756,0.715,0.7061728395061728,200
fold1,123,spoiled,0.625,1.0,0.7692307692307693,200
fold1,2026,fresh,0.976470588235294,0.415,0.5824561403508772,200
fold1,2026,not fresh,0.6328502415458938,0.655,0.6437346437346437,200
fold1,2026,spoiled,0.6428571428571429,0.99,0.7795275590551181,200
fold2,42,fresh,0.0348837209302325,0.015,0.0209790209790209,200
fold2,42,not fresh,0.610236220472441,0.775,0.6828193832599119,200
fold2,42,spoiled,0.5846153846153846,0.76,0.6608695652173913,200
fold2,123,fresh,0.037593984962406,0.025,0.03003003003003,200
fold2,123,not fresh,0.5347593582887701,0.5,0.5167958656330749,200
fold2,123,spoiled,0.5785714285714286,0.81,0.675,200
fold2,2026,fresh,0.0224719101123595,0.01,0.0138408304498269,200
fold2,2026,not fresh,0.5789473684210527,0.715,0.639821029082774,200
fold2,2026,spoiled,0.5984848484848485,0.79,0.6810344827586207,200
fold3,42,fresh,0.711864406779661,0.3559322033898305,0.4745762711864407,118
fold3,42,not fresh,0.5909090909090909,0.585,0.5879396984924623,200
fold3,42,spoiled,0.7318007662835249,0.955,0.8286334056399133,200
fold3,123,fresh,0.8780487804878049,0.3050847457627119,0.4528301886792453,118
fold3,123,not fresh,0.3888888888888889,0.21,0.2727272727272727,200
fold3,123,spoiled,0.5338753387533876,0.985,0.6924428822495606,200
fold3,2026,fresh,0.5465116279069767,0.3983050847457627,0.4607843137254901,118
fold3,2026,not fresh,0.5469613259668509,0.495,0.5196850393700787,200
fold3,2026,spoiled,0.7330677290836654,0.92,0.8159645232815964,200
fold4,42,fresh,0.6696428571428571,1.0,0.8021390374331551,150
fold4,42,not fresh,0.8108108108108109,0.75,0.7792207792207793,200
fold4,42,spoiled,0.9929078014184396,0.7,0.8211143695014663,200
fold4,123,fresh,0.6637168141592921,1.0,0.7978723404255319,150
fold4,123,not fresh,0.765625,0.735,0.75,200
fold4,123,spoiled,1.0,0.66,0.7951807228915663,200
fold4,2026,fresh,0.6866359447004609,0.9933333333333332,0.8119891008174387,150
fold4,2026,not fresh,0.7586206896551724,0.77,0.7642679900744417,200
fold4,2026,spoiled,0.9923076923076924,0.645,0.7818181818181819,200
fold5,42,fresh,0.5941558441558441,0.915,0.7204724409448819,200
fold5,42,not fresh,0.9285714285714286,0.455,0.610738255033557,200
fold5,42,spoiled,0.7164948453608248,0.695,0.7055837563451777,200
fold5,123,fresh,0.664179104477612,0.89,0.7606837606837606,200
fold5,123,not fresh,0.8524590163934426,0.52,0.6459627329192547,200
fold5,123,spoiled,0.7047619047619048,0.74,0.7219512195121951,200
fold5,2026,fresh,0.4689826302729528,0.945,0.6268656716417911,200
fold5,2026,not fresh,0.9081632653061223,0.445,0.5973154362416108,200
fold5,2026,spoiled,0.6262626262626263,0.31,0.4147157190635451,200
fold6,42,fresh,0.0,0.0,0.0,200
fold6,42,not fresh,0.3401360544217687,1.0,0.5076142131979695,200
fold6,42,spoiled,0.0,0.0,0.0,200
fold6,123,fresh,0.0,0.0,0.0,200
fold6,123,not fresh,0.3333333333333333,1.0,0.5,200
fold6,123,spoiled,0.0,0.0,0.0,200
fold6,2026,fresh,0.0,0.0,0.0,200
fold6,2026,not fresh,0.3333333333333333,1.0,0.5,200
fold6,2026,spoiled,0.0,0.0,0.0,200
fold7,42,fresh,0.6533333333333333,0.3333333333333333,0.4414414414414414,147
fold7,42,not fresh,0.3363636363636363,0.185,0.2387096774193548,200
fold7,42,spoiled,0.5165745856353591,0.935,0.6654804270462633,200
fold7,123,fresh,0.5232558139534884,0.3061224489795918,0.3862660944206008,147
fold7,123,not fresh,0.3928571428571428,0.22,0.282051282051282,200
fold7,123,spoiled,0.5071633237822349,0.885,0.644808743169399,200
fold7,2026,fresh,0.7551020408163265,0.2517006802721088,0.3775510204081632,147
fold7,2026,not fresh,0.2912621359223301,0.15,0.198019801980198,200
fold7,2026,spoiled,0.5012658227848101,0.99,0.6655462184873949,200
fold8,42,fresh,0.5025125628140703,1.0,0.6688963210702341,200
fold8,42,not fresh,0.0,0.0,0.0,200
fold8,42,spoiled,0.7772277227722773,0.785,0.7810945273631841,200
fold8,123,fresh,0.5037783375314862,1.0,0.6700167504187605,200
fold8,123,not fresh,0.0,0.0,0.0,200
fold8,123,spoiled,0.7487684729064039,0.76,0.7543424317617866,200
fold8,2026,fresh,0.4975124378109453,1.0,0.6644518272425249,200
fold8,2026,not fresh,0.0,0.0,0.0,200
fold8,2026,spoiled,0.797979797979798,0.79,0.7939698492462312,200
