fold_name,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,top_2_accuracy_mean,top_2_accuracy_std,adjacent_accuracy_mean,adjacent_accuracy_std,severe_error_rate_mean,severe_error_rate_std,mean_absolute_ordinal_error_mean,mean_absolute_ordinal_error_std,borderline_rate_mean,borderline_rate_std,low_confidence_rate_mean,low_confidence_rate_std,adjacent_pair_combined_confidence_mean_mean,adjacent_pair_combined_confidence_mean_std,non_adjacent_top2_rate_mean,non_adjacent_top2_rate_std
fold1,0.7016666666666667,0.018027756377319994,0.7667811740118538,0.013918091880913704,0.7016666666666667,0.018027756377319994,0.6833362409540636,0.02135020984864154,0.93,0.020883273476902817,0.9238888888888889,0.026943012562182508,0.07611111111111106,0.02694301256218257,0.3744444444444444,0.04021930621719616,0.7294444444444445,0.05807880980312999,0.2666666666666666,0.013228756555322964,0.9169288543236379,0.007816122679695907,0.06555555555555549,0.011344765475923424
fold2,0.48888888888888893,0.03845391662371604,0.3978404694287693,0.013263693917177091,0.48888888888888893,0.03845391662371604,0.4356878008234056,0.025107876218320013,0.6238888888888888,0.006735753140545608,0.7622222222222222,0.00962250448649373,0.23777777777777773,0.009622504486493776,0.7488888888888888,0.04289306254879469,0.7922222222222223,0.03501322501464159,0.31888888888888883,0.01018350154434632,0.9147851799423893,0.007503663183034172,0.12499999999999996,0.026822461565718443
fold3,0.6145431145431145,0.07497541954781878,0.6291031061177613,0.042727432599794814,0.5788135593220338,0.06960595855692503,0.5672870661502288,0.08345024805134937,0.9305019305019305,0.028042160321108008,0.981981981981982,0.016190148810050493,0.018018018018017966,0.016190148810050327,0.40347490347490345,0.09089774028566454,0.904118404118404,0.024822781881577712,0.33204633204633205,0.09887110445792956,0.9511640520432527,0.014462037829959832,0.11647361647361641,0.0281306216144072
fold4,0.7884848484848485,0.010338619460140612,0.8155852900216362,0.007801679761017038,0.8059259259259259,0.009563519506426286,0.7892891691313957,0.010299047177734966,0.9478787878787879,0.001049727762163131,0.9569696969696969,0.002099455524325789,0.043030303030303,0.0020994555243258875,0.25454545454545446,0.008331955809010616,0.6327272727272727,0.01666391161802121,0.09757575757575754,0.017280699914403917,0.9692844087877917,0.013073660718375789,0.03333333333333333,0.048594572813093574
fold5,0.6572222222222223,0.07969269681674683,0.7182256295069731,0.043768324179350594,0.6572222222222223,0.07969269681674687,0.6449209991539749,0.08676888383285197,0.916111111111111,0.004811252243246928,0.8516666666666667,0.07466592261534036,0.1483333333333333,0.0746659226153404,0.49111111111111105,0.15435648974346988,0.7077777777777777,0.009765775461803907,0.22666666666666668,0.03055050463303892,0.9217910517836899,0.009971317888705724,0.34555555555555545,0.03074687578227048
fold6,0.3333333333333333,0.0,0.11186696900982614,0.0013091842838766892,0.3333333333333333,0.0,0.1675126903553299,0.0014653560131716735,0.8322222222222222,0.004194352464039291,0.9933333333333333,0.011547005383792535,0.006666666666666667,0.011547005383792516,0.6733333333333333,0.011547005383792535,0.36999999999999994,0.114175790389693,0.026111111111111068,0.035368431205326664,0.9823065750084502,0.006649728185165004,0.0,0.0
fold7,0.489945155393053,0.00796873664267033,0.4974642039387402,0.021109320368580247,0.4729062736205593,0.010503568865282203,0.4333194118248997,0.01782901916836394,0.8769043266301035,0.005277424764073377,0.9183424741011578,0.0195478548840285,0.08165752589884213,0.019547854884028562,0.5917123705057891,0.02413808936055869,0.6160877513711152,0.08415465657392251,0.2486288848263254,0.028556671575527062,0.9166239435527354,0.0024086178821227993,0.14076782449725775,0.03830407100504019
fold8,0.5927777777777777,0.005357583756107205,0.425308814646109,0.007241749564324165,0.5927777777777777,0.005357583756107226,0.48141907856696897,0.005913441523333868,0.7394444444444445,0.04416928713400215,0.9261111111111111,0.0053575837561071595,0.07388888888888888,0.005357583756107211,0.4811111111111111,0.010715167512214394,0.3705555555555555,0.05452658203251098,0.09666666666666664,0.02619372274250282,0.9477250735023101,0.0016211910592639058,0.2905555555555555,0.021751968833835445
