pork_cut,runs,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
belly,6,0.5416730868002054,0.017670368096145386,0.4597228310126927,0.029779219433707337
shoulder,6,0.5719696625641492,0.10021794833532308,0.5148483922611359,0.1380990005661877
