held_out_sample,capture_source,pork_cut,runs,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
pork_belly_sample_3,researcher_home,belly,3,0.5522727272727274,0.014903269373413595,0.4855392418550768,0.010061502080100853
pork_belly_sample_4,partner_home,belly,3,0.5310734463276836,0.014880866882560352,0.4339064201703085,0.010784699566796266
pork_shoulder_sample_1,researcher_home,shoulder,3,0.6446735395189003,0.09244688842600755,0.6221780904837421,0.11194875013725329
pork_shoulder_sample_2,partner_home,shoulder,3,0.499265785609398,0.026553805168906187,0.40751869403852964,0.024224365306226587
