backbone,held_out_cut,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
EfficientNetB0,shoulder,0.96875,0.007503799037820795,0.96875,0.007175165503317584
MobileNetV2,shoulder,0.3237113402061856,0.0,0.1630321910695742,0.0
MobileNetV3Small,belly,0.5416730868002054,0.017670368096145386,0.4597228310126927,0.029779219433707337
MobileNetV3Small,shoulder,0.5719696625641492,0.10021794833532308,0.5148483922611359,0.1380990005661877
ResNet50,shoulder,0.41573338177634467,0.05747017415566118,0.3085394676162114,0.07135431826425338
