class_name,precision,recall,f1_score,support
fresh,0.9557522123893806,0.6878980891719745,0.8,157.0
not fresh,0.7522123893805309,0.5379746835443038,0.6273062730627307,158.0
spoiled,0.6216216216216216,0.9470588235294117,0.7505827505827506,170.0
