phase,epoch_in_phase,epoch_global,loss,accuracy,val_loss,val_accuracy,val_f1_macro,lr
head,1,1,0.5723205804824829,0.7751938104629517,0.14663384854793549,0.9365853667259216,0.9366369032573344,0.0005
head,2,2,0.19668662548065186,0.9259259700775146,0.07858868688344955,0.9707317352294922,0.9706456279384247,0.0005
head,3,3,0.12575645744800568,0.9517657160758972,0.0856548324227333,0.9658536314964294,0.9658316913068957,0.0005
head,4,4,0.14058445394039154,0.9543496966362,0.07308837026357651,0.9707317352294922,0.9704203211634505,0.0005
head,5,5,0.12362577766180038,0.9560723900794983,0.05774573236703873,0.9707317352294922,0.9704203211634505,0.0005
head,6,6,0.10984743386507034,0.9569336771965027,0.08523822575807571,0.9658536314964294,0.9661890352508888,0.0005
head,7,7,0.09816502034664154,0.9629629850387573,0.05907701328396797,0.9756097793579102,0.975336172957496,0.0005
head,8,8,0.09711121767759323,0.9603790044784546,0.06040649116039276,0.9756097793579102,0.975336172957496,0.0005
fine,1,9,0.11610518395900726,0.9629629850387573,0.057291820645332336,0.9756097793579102,0.975394324084652,1e-05
fine,2,10,0.08753498643636703,0.9698535799980164,0.05498308315873146,0.9707317352294922,0.9705199677927402,1e-05
fine,3,11,0.06697332113981247,0.9715762734413147,0.03605600818991661,0.9804878234863281,0.9804215350523772,1e-05
fine,4,12,0.06123272702097893,0.9741602540016174,0.04883916303515434,0.9804878234863281,0.9804215350523772,1e-05
fine,5,13,0.0727032870054245,0.9732989072799683,0.05667484179139137,0.9756097793579102,0.975336172957496,1e-05
fine,6,14,0.06378688663244247,0.9793282151222229,0.03803687542676926,0.9804878234863281,0.9804215350523772,1e-05
fine,7,15,0.06705810129642487,0.9776055216789246,0.07168009132146835,0.9756097793579102,0.975336172957496,1e-05
fine,8,16,0.05842404440045357,0.9793282151222229,0.04114023968577385,0.9756097793579102,0.975336172957496,5e-06
fine,9,17,0.04866475984454155,0.98277348279953,0.0481572225689888,0.9804878234863281,0.9804215350523772,5e-06
fine,10,18,0.04741796851158142,0.9819121956825256,0.034694407135248184,0.9756097793579102,0.975336172957496,5e-06
fine,11,19,0.04561161994934082,0.9793282151222229,0.04477338492870331,0.9756097793579102,0.975336172957496,5e-06
