phase,epoch_in_phase,epoch_global,loss,accuracy,val_loss,val_accuracy,val_f1_macro,lr
head,1,1,0.8335521817207336,0.6356589198112488,0.28179094195365906,0.9365853667259216,0.9370388805928874,0.0005
head,2,2,0.4323817789554596,0.8303186893463135,0.15676665306091309,0.9707317352294922,0.9704203211634505,0.0005
head,3,3,0.2649006247520447,0.9121447205543518,0.1095196083188057,0.9658536314964294,0.9662936431229113,0.0005
head,4,4,0.23379337787628174,0.926787257194519,0.09678594768047333,0.9609755873680115,0.9612932604735883,0.0005
head,5,5,0.18853706121444702,0.9336779117584229,0.07871001958847046,0.9756097793579102,0.975336172957496,0.0005
head,6,6,0.15457342565059662,0.9500430822372437,0.07189508527517319,0.9756097793579102,0.975336172957496,0.0005
head,7,7,0.1463741958141327,0.9534884095191956,0.06621462851762772,0.9658536314964294,0.9659571725859283,0.0005
head,8,8,0.14164432883262634,0.9465978145599365,0.076450876891613,0.9658536314964294,0.9659571725859283,0.0005
fine,1,9,0.11477137356996536,0.9612403512001038,0.0570974163711071,0.9756097793579102,0.975336172957496,1e-05
fine,2,10,0.11692485958337784,0.9638243317604065,0.05201965570449829,0.9756097793579102,0.975336172957496,1e-05
fine,3,11,0.11162146180868149,0.9569336771965027,0.05271875485777855,0.9756097793579102,0.975336172957496,1e-05
fine,4,12,0.09522164613008499,0.9672695994377136,0.04883185029029846,0.9756097793579102,0.975336172957496,1e-05
fine,5,13,0.09834400564432144,0.9595176577568054,0.051026567816734314,0.9756097793579102,0.975336172957496,1e-05
fine,6,14,0.09533552080392838,0.9629629850387573,0.04709305241703987,0.9756097793579102,0.975336172957496,1e-05
fine,7,15,0.07732362300157547,0.975882887840271,0.045171480625867844,0.9756097793579102,0.975336172957496,1e-05
fine,8,16,0.07959137856960297,0.9681309461593628,0.045900650322437286,0.9756097793579102,0.975336172957496,1e-05
fine,9,17,0.09090656042098999,0.9629629850387573,0.04868357628583908,0.9756097793579102,0.975336172957496,1e-05
