phase,epoch_in_phase,epoch_global,loss,accuracy,val_loss,val_accuracy,val_f1_macro,lr
head,1,1,0.7807703018188477,0.6547122597694397,0.25382712483406067,0.9386792778968811,0.939396520214763,0.0005
head,2,2,0.309167742729187,0.898248553276062,0.1698140650987625,0.9528301954269409,0.9529845741113347,0.0005
head,3,3,0.20597650110721588,0.9349457621574402,0.1338706910610199,0.9575471878051758,0.957644483176398,0.0005
head,4,4,0.1719498187303543,0.9432860612869263,0.11782754212617874,0.9575471878051758,0.957644483176398,0.0005
head,5,5,0.14259716868400574,0.9591326117515564,0.12688922882080078,0.9622641801834106,0.9625055594252068,0.0005
head,6,6,0.12398360669612885,0.955796480178833,0.11576330661773682,0.9575471878051758,0.957644483176398,0.0005
head,7,7,0.10525845736265182,0.9624687433242798,0.12365478277206421,0.9575471878051758,0.957644483176398,0.0005
head,8,8,0.10336347669363022,0.9674729108810425,0.09038258343935013,0.9622641801834106,0.9623015873015873,0.0005
fine,1,9,0.08830288052558899,0.9708089828491211,0.10978169739246368,0.9669811725616455,0.967164566219365,1e-05
fine,2,10,0.09045598655939102,0.9658048152923584,0.09168393909931183,0.9622641801834106,0.9624623453946203,1e-05
fine,3,11,0.07706165313720703,0.9733110666275024,0.10186609625816345,0.9622641801834106,0.9624623453946203,1e-05
fine,4,12,0.07214422523975372,0.9758131504058838,0.10389021039009094,0.9622641801834106,0.9624623453946203,1e-05
fine,5,13,0.08063077926635742,0.9749791622161865,0.0892542377114296,0.9669811725616455,0.9671167175848362,1e-05
fine,6,14,0.0691903755068779,0.9716430306434631,0.0954023078083992,0.9669811725616455,0.9671167175848362,1e-05
fine,7,15,0.0641181468963623,0.9791492819786072,0.08895421028137207,0.9716981053352356,0.9720156555772994,1e-05
fine,8,16,0.06932880729436874,0.9774812459945679,0.09586294740438461,0.9669811725616455,0.9673595826200375,1e-05
fine,9,17,0.05981118232011795,0.9833194017410278,0.08222722262144089,0.9716981053352356,0.9720156555772994,1e-05
fine,10,18,0.048380207270383835,0.9849874973297119,0.07469251751899719,0.9716981053352356,0.9720156555772994,1e-05
fine,11,19,0.05114918202161789,0.9816513657569885,0.07903554290533066,0.9764150977134705,0.9766854161571698,1e-05
fine,12,20,0.060273177921772,0.9808173179626465,0.08712320774793625,0.9716981053352356,0.9720266040688577,1e-05
fine,13,21,0.049512431025505066,0.9883235692977905,0.07511390745639801,0.9669811725616455,0.9671167175848362,1e-05
fine,14,22,0.05576898902654648,0.9833194017410278,0.08209523558616638,0.9764150977134705,0.9766854161571698,1e-05
fine,15,23,0.055706676095724106,0.9841534495353699,0.07924266904592514,0.9764150977134705,0.9766854161571698,5e-06
fine,16,24,0.05402301624417305,0.9841534495353699,0.0760345458984375,0.9764150977134705,0.9766854161571698,5e-06
fine,17,25,0.05207180231809616,0.9833194017410278,0.07439345121383667,0.9764150977134705,0.9766854161571698,5e-06
fine,18,26,0.047767411917448044,0.9841534495353699,0.07741554081439972,0.9764150977134705,0.9766854161571698,5e-06
fine,19,27,0.057216208428144455,0.9799833297729492,0.0752340778708458,0.9764150977134705,0.9766854161571698,5e-06
