phase,epoch_in_phase,epoch_global,loss,accuracy,val_loss,val_accuracy,val_f1_macro,lr
head,1,1,0.7373247742652893,0.6996587514877319,0.30257320404052734,0.9130434393882751,0.9131126466334566,0.0005
head,2,2,0.3878568410873413,0.8532423377037048,0.20811259746551514,0.9371980428695679,0.9375371898168251,0.0005
head,3,3,0.28144371509552,0.8916382789611816,0.1519778072834015,0.9371980428695679,0.9375371898168251,0.0005
head,4,4,0.2175963819026947,0.929180920124054,0.13971669971942902,0.9371980428695679,0.9375371898168251,0.0005
head,5,5,0.19317679107189178,0.9325938820838928,0.12445592135190964,0.9661835432052612,0.9665807006232537,0.0005
head,6,6,0.1611786186695099,0.9462457895278931,0.11032848060131073,0.9661835432052612,0.9665807006232537,0.0005
head,7,7,0.17400865256786346,0.9308874011039734,0.11227993667125702,0.9613526463508606,0.9617667385214687,0.0005
head,8,8,0.1264495849609375,0.9522184729576111,0.12252208590507507,0.9371980428695679,0.9375371898168251,0.0005
fine,1,9,0.12673066556453705,0.9564846754074097,0.11670168489217758,0.9613526463508606,0.9617667385214687,1e-05
fine,2,10,0.1098577156662941,0.9590443968772888,0.10787875950336456,0.9613526463508606,0.9617667385214687,1e-05
fine,3,11,0.09936472028493881,0.9650170803070068,0.10847742110490799,0.9661835432052612,0.9665807006232537,1e-05
fine,4,12,0.10103268176317215,0.9650170803070068,0.10340267419815063,0.9661835432052612,0.9665807006232537,1e-05
fine,5,13,0.10832240432500839,0.9624573588371277,0.09666656702756882,0.9661835432052612,0.9665807006232537,1e-05
fine,6,14,0.090694360435009,0.967576801776886,0.10203448683023453,0.9661835432052612,0.9665807006232537,1e-05
fine,7,15,0.07793641090393066,0.9744027853012085,0.10086654871702194,0.95652174949646,0.9569442377953017,1e-05
fine,8,16,0.07778356224298477,0.9769625067710876,0.09491807222366333,0.9661835432052612,0.9665807006232537,1e-05
fine,9,17,0.08548514544963837,0.9667235612869263,0.1002284362912178,0.9661835432052612,0.9665807006232537,1e-05
fine,10,18,0.08259857445955276,0.9692833423614502,0.08435133099555969,0.9710144996643066,0.9715506327263927,1e-05
fine,11,19,0.09071939438581467,0.9692833423614502,0.09475178271532059,0.9710144996643066,0.9715506327263927,1e-05
fine,12,20,0.0762726366519928,0.9692833423614502,0.08864208310842514,0.9710144996643066,0.9715506327263927,1e-05
fine,13,21,0.08296391367912292,0.967576801776886,0.07737797498703003,0.9710144996643066,0.9715506327263927,1e-05
fine,14,22,0.08424300700426102,0.9735495448112488,0.07617025077342987,0.9710144996643066,0.9715506327263927,1e-05
fine,15,23,0.07477789372205734,0.9701365828514099,0.08922064304351807,0.9710144996643066,0.9715506327263927,1e-05
fine,16,24,0.07890371233224869,0.9701365828514099,0.07679595798254013,0.9710144996643066,0.9715506327263927,1e-05
fine,17,25,0.0791480764746666,0.9701365828514099,0.07786522805690765,0.9758453965187073,0.9765246573757213,1e-05
fine,18,26,0.08016134798526764,0.9726963043212891,0.08027714490890503,0.9758453965187073,0.9765246573757213,1e-05
fine,19,27,0.060673028230667114,0.9769625067710876,0.07934610545635223,0.9758453965187073,0.9765246573757213,5e-06
fine,20,28,0.06614741683006287,0.9786689877510071,0.08156681060791016,0.9758453965187073,0.9765246573757213,5e-06
