backbone,runs,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std
EfficientNetB0,6,0.96875,0.007503799037820795,0.96875,0.007175165503317584,0.96875,0.007175165503317584,0.96875,0.007175165503317584
MobileNetV2,3,0.3237113402061856,0.0,0.10790378006872851,0.0,0.3333333333333333,0.0,0.1630321910695742,0.0
MobileNetV3Small,12,0.5568213746821773,0.07040986688024685,0.5013144015879613,0.1452226421050151,0.5520473152435427,0.0716493514106537,0.48728561163691425,0.09950201544152104
ResNet50,6,0.41573338177634467,0.05747017415566118,0.25866422328837574,0.06972003363315514,0.41259203758085783,0.05571080490718894,0.3085394676162114,0.07135431826425338
