phase,epoch_in_phase,epoch_global,loss,accuracy,val_loss,val_accuracy,val_f1_macro,lr
head,1,1,0.6585066318511963,0.7438921332359314,0.18638606369495392,0.9238095879554749,0.925764754706145,0.0005
head,2,2,0.20830103754997253,0.9275484085083008,0.1112225353717804,0.9571428894996643,0.9572845256735834,0.0005
head,3,3,0.16535846889019012,0.9351305365562439,0.12072519212961197,0.9476190805435181,0.9472763041523654,0.0005
head,4,4,0.15896430611610413,0.9368155002593994,0.0905129611492157,0.9619048237800598,0.9618423618423618,0.0005
head,5,5,0.10887362062931061,0.9587194323539734,0.08428234606981277,0.9571428894996643,0.9572845256735834,0.0005
head,6,6,0.10599710792303085,0.9595618844032288,0.08706548064947128,0.9619048237800598,0.9625232755885945,0.0005
head,7,7,0.09167038649320602,0.9646166563034058,0.0864841490983963,0.9571428894996643,0.9572845256735834,0.0005
head,8,8,0.09367971867322922,0.9637742042541504,0.09150076657533646,0.9571428894996643,0.9572845256735834,0.0005
fine,1,9,0.06928882002830505,0.9730412364006042,0.05584956333041191,0.971428632736206,0.9713692885320531,5e-06
fine,2,10,0.07215701788663864,0.9738837480545044,0.052498746663331985,0.971428632736206,0.9712511420342608,5e-06
fine,3,11,0.06445388495922089,0.9738837480545044,0.04315108805894852,0.985714316368103,0.9858793776458299,5e-06
fine,4,12,0.06728905439376831,0.9747262001037598,0.04688749834895134,0.9761905074119568,0.9763400545065547,5e-06
fine,5,13,0.06640209257602692,0.9772535562515259,0.054376132786273956,0.971428632736206,0.9717782788205325,5e-06
fine,6,14,0.04419795051217079,0.9823083281517029,0.06854118406772614,0.9619048237800598,0.96224920101001,5e-06
fine,7,15,0.040818918496370316,0.9865206480026245,0.027598369866609573,0.9952381253242493,0.9954284282873829,5e-06
fine,8,16,0.041922710835933685,0.9839932322502136,0.03909990191459656,0.9761905074119568,0.9763400545065547,5e-06
fine,9,17,0.03710823506116867,0.9865206480026245,0.038382772356271744,0.9809524416923523,0.980903540903541,5e-06
fine,10,18,0.04491827264428139,0.9865206480026245,0.025448814034461975,0.9952381253242493,0.9954284282873829,5e-06
fine,11,19,0.03285359591245651,0.989890456199646,0.04019428417086601,0.9761905074119568,0.9763400545065547,5e-06
fine,12,20,0.03268147632479668,0.984835684299469,0.035803720355033875,0.9761905074119568,0.9763400545065547,5e-06
fine,13,21,0.044384416192770004,0.9814658761024475,0.05901370570063591,0.9761905074119568,0.9771678786457111,5e-06
fine,14,22,0.04683025926351547,0.9823083281517029,0.0262979194521904,0.9952381253242493,0.9954284282873829,5e-06
fine,15,23,0.030715903267264366,0.9865206480026245,0.02639182098209858,0.985714316368103,0.98629558361102,2.5e-06
