fold_name,seed,label,precision,recall,f1,support
fold1,42,fresh,0.9473684210526315,0.09,0.1643835616438356,200
fold1,42,not fresh,0.0,0.0,0.0,200
fold1,42,spoiled,0.3442340791738382,1.0,0.5121638924455826,200
fold1,123,fresh,0.9183673469387755,0.225,0.3614457831325301,200
fold1,123,not fresh,0.0,0.0,0.0,200
fold1,123,spoiled,0.36363636363636365,1.0,0.5333333333333333,200
fold1,2026,fresh,0.9558823529411765,0.325,0.48507462686567165,200
fold1,2026,not fresh,0.1111111111111111,0.01,0.01834862385321101,200
fold1,2026,spoiled,0.38910505836575876,1.0,0.5602240896358543,200
fold2,42,fresh,0.08333333333333333,0.01,0.017857142857142856,200
fold2,42,not fresh,0.3170731707317073,0.195,0.24148606811145512,200
fold2,42,spoiled,0.4194260485651214,0.95,0.5819295558958653,200
fold2,123,fresh,0.0,0.0,0.0,200
fold2,123,not fresh,0.4631578947368421,0.22,0.2983050847457627,200
fold2,123,spoiled,0.37896825396825395,0.955,0.5426136363636364,200
fold2,2026,fresh,0.2222222222222222,0.01,0.019138755980861243,200
fold2,2026,not fresh,0.0,0.0,0.0,200
fold2,2026,spoiled,0.32825719120135366,0.97,0.49051833122629585,200
fold3,42,fresh,0.31875,0.4322033898305085,0.3669064748201439,118
fold3,42,not fresh,0.2717391304347826,0.125,0.17123287671232876,200
fold3,42,spoiled,0.7406015037593985,0.985,0.8454935622317596,200
fold3,123,fresh,0.3051948051948052,0.3983050847457627,0.34558823529411764,118
fold3,123,not fresh,0.2857142857142857,0.15,0.19672131147540983,200
fold3,123,spoiled,0.7258687258687259,0.94,0.8191721132897604,200
fold3,2026,fresh,0.3333333333333333,0.4745762711864407,0.3916083916083916,118
fold3,2026,not fresh,0.4311377245508982,0.36,0.3923705722070845,200
fold3,2026,spoiled,0.8306010928961749,0.76,0.793733681462141,200
fold4,42,fresh,0.8514285714285714,0.9933333333333333,0.916923076923077,150
fold4,42,not fresh,0.4661016949152542,0.275,0.34591194968553457,200
fold4,42,spoiled,0.4980544747081712,0.64,0.5601750547045952,200
fold4,123,fresh,0.6493506493506493,1.0,0.7874015748031497,150
fold4,123,not fresh,0.23636363636363636,0.065,0.10196078431372549,200
fold4,123,spoiled,0.5,0.66,0.5689655172413793,200
fold4,2026,fresh,0.7303921568627451,0.9933333333333333,0.8418079096045198,150
fold4,2026,not fresh,0.3888888888888889,0.14,0.20588235294117646,200
fold4,2026,spoiled,0.5109489051094891,0.7,0.5907172995780591,200
fold5,42,fresh,0.6488294314381271,0.97,0.7775551102204409,200
fold5,42,not fresh,0.9285714285714286,0.26,0.40625,200
fold5,42,spoiled,0.6775510204081633,0.83,0.7460674157303371,200
fold5,123,fresh,0.5338753387533876,0.985,0.6924428822495606,200
fold5,123,not fresh,0.9230769230769231,0.18,0.301255230125523,200
fold5,123,spoiled,0.640625,0.615,0.6275510204081632,200
fold5,2026,fresh,0.5763688760806917,1.0,0.7312614259597806,200
fold5,2026,not fresh,1.0,0.09,0.1651376146788991,200
fold5,2026,spoiled,0.6851063829787234,0.805,0.7402298850574712,200
fold6,42,fresh,0.9748427672955975,0.775,0.8635097493036211,200
fold6,42,not fresh,0.4467120181405896,0.985,0.6146645865834633,200
fold6,42,spoiled,0.0,0.0,0.0,200
fold6,123,fresh,0.989247311827957,0.46,0.6279863481228669,200
fold6,123,not fresh,0.39447731755424065,1.0,0.5657708628005658,200
fold6,123,spoiled,0.0,0.0,0.0,200
fold6,2026,fresh,0.9182692307692307,0.955,0.9362745098039216,200
fold6,2026,not fresh,0.46938775510204084,0.92,0.6216216216216216,200
fold6,2026,spoiled,0.0,0.0,0.0,200
