fold_name,seed,h5_size_mb,tflite_size_mb,inference_mean_ms_per_image,inference_std_ms_per_image
fold1,42,4.8607330322265625,3.905319213867188,2.1358129333330003,0.0647937445741953
fold1,123,4.860588073730469,3.905109405517578,2.3512802999994165,0.1035060580675486
fold1,2026,4.860588073730469,3.905109405517578,2.3597889833332983,0.0474221105805801
fold2,42,4.860588073730469,3.905109405517578,2.436443333333348,0.0853256217741843
fold2,123,4.860588073730469,3.905109405517578,2.6462799666666497,0.2071042147316326
fold2,2026,4.860588073730469,3.905109405517578,2.921464033333298,0.1709157086858239
fold3,42,4.860588073730469,3.905109405517578,3.090544710425914,0.0179569941049373
fold3,123,4.8607330322265625,3.905319213867188,5.2826349227790335,0.5248730725101464
fold3,2026,4.8607330322265625,3.905319213867188,2.732875579150744,0.0641440437554309
fold4,42,4.860588073730469,3.905109405517578,2.62570814545523,0.0370821166734231
fold4,123,4.860862731933594,3.9054183959960938,3.799786199999454,0.081786187572311
fold4,2026,4.860984802246094,3.905441284179688,3.8938875272717928,0.01903012467818
fold5,42,4.860588073730469,3.905109405517578,2.6424598166662085,0.0465813011898247
fold5,123,4.861007690429688,3.905471801757813,6.228535166666917,0.1465450211678556
fold5,2026,4.8610382080078125,3.9055099487304688,6.493190900000627,0.1179263990500445
fold6,42,4.860588073730469,3.905109405517578,2.9270393999995576,0.0778451807392088
fold6,123,4.860588073730469,3.905109405517578,2.6343538833334605,0.0150746846499263
fold6,2026,4.860588073730469,3.905109405517578,2.685192683333298,0.2174521518290864
