held_out_cut,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,top_2_accuracy_mean,top_2_accuracy_std,adjacent_accuracy_mean,adjacent_accuracy_std,severe_error_rate_mean,severe_error_rate_std,mean_absolute_ordinal_error_mean,mean_absolute_ordinal_error_std,borderline_rate_mean,borderline_rate_std,low_confidence_rate_mean,low_confidence_rate_std,adjacent_pair_combined_confidence_mean_mean,adjacent_pair_combined_confidence_mean_std,non_adjacent_top2_rate_mean,non_adjacent_top2_rate_std
belly,0.5492523692523693,0.03419824962998467,0.5041371988544339,0.06663832116334019,0.5606528562460765,0.055912881844318474,0.5134762632720197,0.05853578088862499,0.9224745524745525,0.03510529121754823,0.9755738855738856,0.014501368190437356,0.024426114426114424,0.014501368190437361,0.47517374517374517,0.035747913516420544,0.5479209079209079,0.1855140886454285,0.15792909792909793,0.09253430544125915,0.9546042623325763,0.02398418139822858,0.05119925119925119,0.06033323241702062
ham,0.6016666666666667,0.06661664790259098,0.6003856001109501,0.14869936499647285,0.6016666666666667,0.06661664790259098,0.5231987923703464,0.07982066529587051,0.9283333333333333,0.06244108334173013,0.9569444444444444,0.0513421709564225,0.04305555555555555,0.05134217095642255,0.4413888888888889,0.06893972138894373,0.4786111111111111,0.0924086135154719,0.0963888888888889,0.04969257340742026,0.9679700705127693,0.027300231831844327,0.11777777777777777,0.1294718616648535
shoulder,0.38666666666666666,0.040110957217310186,0.3467857137765827,0.11759298918076191,0.3866666666666667,0.04011095721731019,0.26815680478283543,0.0634718510645478,0.7572222222222221,0.11686966466332706,0.7386111111111111,0.05465463959838753,0.2613888888888889,0.05465463959838754,0.8747222222222222,0.09135654611749794,0.46611111111111114,0.14557803049554888,0.18472222222222223,0.09527397141732694,0.9359776370492364,0.03232351100932265,0.11055555555555556,0.09522876938466925
