fold,held_out_sample,held_out_cut,train_count,val_count,test_count,train_class_counts,val_class_counts,test_class_counts,train_fresh_count,val_fresh_count,test_fresh_count,train_not_fresh_count,val_not_fresh_count,test_not_fresh_count,train_spoiled_count,val_spoiled_count,test_spoiled_count
fold1,pork_shoulder_sample_1,shoulder,2438,430,600,"{""fresh"": 738, ""not fresh"": 850, ""spoiled"": 850}","{""fresh"": 130, ""not fresh"": 150, ""spoiled"": 150}","{""fresh"": 200, ""not fresh"": 200, ""spoiled"": 200}",738,130,200,850,150,200,850,150,200
fold2,pork_shoulder_sample_2,shoulder,2438,430,600,"{""fresh"": 738, ""not fresh"": 850, ""spoiled"": 850}","{""fresh"": 130, ""not fresh"": 150, ""spoiled"": 150}","{""fresh"": 200, ""not fresh"": 200, ""spoiled"": 200}",738,130,200,850,150,200,850,150,200
fold3,pork_belly_sample_3,belly,2508,442,518,"{""fresh"": 808, ""not fresh"": 850, ""spoiled"": 850}","{""fresh"": 142, ""not fresh"": 150, ""spoiled"": 150}","{""fresh"": 118, ""not fresh"": 200, ""spoiled"": 200}",808,142,118,850,150,200,850,150,200
fold4,pork_belly_sample_4,belly,2480,438,550,"{""fresh"": 780, ""not fresh"": 850, ""spoiled"": 850}","{""fresh"": 138, ""not fresh"": 150, ""spoiled"": 150}","{""fresh"": 150, ""not fresh"": 200, ""spoiled"": 200}",780,138,150,850,150,200,850,150,200
fold5,pork_ham_sample_5,ham,2438,430,600,"{""fresh"": 738, ""not fresh"": 850, ""spoiled"": 850}","{""fresh"": 130, ""not fresh"": 150, ""spoiled"": 150}","{""fresh"": 200, ""not fresh"": 200, ""spoiled"": 200}",738,130,200,850,150,200,850,150,200
fold6,pork_ham_sample_6,ham,2438,430,600,"{""fresh"": 738, ""not fresh"": 850, ""spoiled"": 850}","{""fresh"": 130, ""not fresh"": 150, ""spoiled"": 150}","{""fresh"": 200, ""not fresh"": 200, ""spoiled"": 200}",738,130,200,850,150,200,850,150,200
