feature_name,fill_value
rgb_r_mean,123.43555
rgb_r_std,22.483585
rgb_g_mean,91.49138
rgb_g_std,34.887115
rgb_b_mean,90.93948
rgb_b_std,32.600822
hsv_h_mean,47.578674
hsv_h_std,82.957054
hsv_s_mean,83.56265
hsv_s_std,55.728683
hsv_v_mean,123.508835
hsv_v_std,22.529297
lab_l_mean,43.543232
lab_l_std,11.259964
lab_a_mean,13.278448
lab_a_std,10.070774
lab_b_mean,7.5133276
lab_b_std,5.8217835
glcm_contrast_mean,84.3026
glcm_contrast_std,52.00587
glcm_dissimilarity_mean,4.3792152
glcm_dissimilarity_std,1.5898327
glcm_homogeneity_mean,0.43841016
glcm_homogeneity_std,0.044205297
glcm_energy_mean,0.2814814
glcm_energy_std,0.007428767
glcm_correlation_mean,0.9529521
glcm_correlation_std,0.028518427
glcm_ASM_mean,0.079300195
glcm_ASM_std,0.0044361483
