feature_name,fill_value
rgb_r_mean,122.846924
rgb_r_std,21.589844
rgb_g_mean,98.83885
rgb_g_std,31.654346
rgb_b_mean,96.48483
rgb_b_std,32.22039
hsv_h_mean,19.82658
hsv_h_std,55.70178
hsv_s_mean,65.85748
hsv_s_std,52.632584
hsv_v_mean,122.94707
hsv_v_std,21.655598
lab_l_mean,44.382805
lab_l_std,10.996015
lab_a_mean,10.988637
lab_a_std,7.208498
lab_b_mean,6.5606785
lab_b_std,5.8335443
glcm_contrast_mean,78.63193
glcm_contrast_std,48.301067
glcm_dissimilarity_mean,3.3781009
glcm_dissimilarity_std,1.1758623
glcm_homogeneity_mean,0.50990534
glcm_homogeneity_std,0.044714715
glcm_energy_mean,0.333897
glcm_energy_std,0.0072137895
glcm_correlation_mean,0.9565325
glcm_correlation_std,0.026428211
glcm_ASM_mean,0.11155474
glcm_ASM_std,0.004959741
