feature_name,fill_value
rgb_r_mean,120.2943
rgb_r_std,18.171577
rgb_g_mean,97.72221
rgb_g_std,29.778996
rgb_b_mean,95.78546
rgb_b_std,30.630722
hsv_h_mean,22.052055
hsv_h_std,60.55059
hsv_s_mean,69.06134
hsv_s_std,49.18714
hsv_v_mean,120.38495
hsv_v_std,18.154642
lab_l_mean,43.544006
lab_l_std,9.96681
lab_a_mean,11.0961275
lab_a_std,6.929019
lab_b_mean,6.504275
lab_b_std,4.6786556
glcm_contrast_mean,67.56262
glcm_contrast_std,43.31449
glcm_dissimilarity_mean,3.3479743
glcm_dissimilarity_std,1.1725538
glcm_homogeneity_mean,0.51153094
glcm_homogeneity_std,0.047996245
glcm_energy_mean,0.31569684
glcm_energy_std,0.006896287
glcm_correlation_mean,0.955348
glcm_correlation_std,0.027760293
glcm_ASM_mean,0.0997152
glcm_ASM_std,0.004121785
