feature_name,fill_value
rgb_r_mean,126.58669
rgb_r_std,22.13775
rgb_g_mean,89.8766
rgb_g_std,34.583717
rgb_b_mean,88.9319
rgb_b_std,32.423874
hsv_h_mean,47.088905
hsv_h_std,81.83304
hsv_s_mean,83.81746
hsv_s_std,55.383728
hsv_v_mean,126.63963
hsv_v_std,22.188408
lab_l_mean,43.10672
lab_l_std,11.20014
lab_a_mean,13.466265
lab_a_std,10.086557
lab_b_mean,7.533946
lab_b_std,5.6853414
glcm_contrast_mean,81.77693
glcm_contrast_std,51.53558
glcm_dissimilarity_mean,4.2548895
glcm_dissimilarity_std,1.5927324
glcm_homogeneity_mean,0.43718252
glcm_homogeneity_std,0.047831547
glcm_energy_mean,0.25221363
glcm_energy_std,0.007372817
glcm_correlation_mean,0.9551678
glcm_correlation_std,0.027395539
glcm_ASM_mean,0.063640475
glcm_ASM_std,0.0034509506
