feature_name,fill_value
rgb_r_mean,126.924706
rgb_r_std,21.842861
rgb_g_mean,98.86573
rgb_g_std,34.305912
rgb_b_mean,96.97911
rgb_b_std,31.653793
hsv_h_mean,48.231926
hsv_h_std,84.85917
hsv_s_mean,65.7707
hsv_s_std,51.90247
hsv_v_mean,127.0132
hsv_v_std,21.911278
lab_l_mean,44.9224
lab_l_std,11.274895
lab_a_mean,12.29224
lab_a_std,10.130953
lab_b_mean,6.178814
lab_b_std,4.7222347
glcm_contrast_mean,83.1582
glcm_contrast_std,51.39715
glcm_dissimilarity_mean,4.3887286
glcm_dissimilarity_std,1.5988731
glcm_homogeneity_mean,0.501768
glcm_homogeneity_std,0.043876495
glcm_energy_mean,0.30960885
glcm_energy_std,0.0073797726
glcm_correlation_mean,0.955215
glcm_correlation_std,0.027984114
glcm_ASM_mean,0.095921084
glcm_ASM_std,0.0046414305
