image_path_resolved,sample_id,pork_cut,capture_source,label,method,mask_area_ratio,touches_border,number_of_components,center_overlap_ratio,segmentation_failed,mask_path,preview_black_path,preview_gray_path,preview_mean_path
E:\Thesis Code\Pork Belly - Sample 3\Spoiled - 16 to 36 hours\20260429_201427.jpg,pork_belly_sample_3,belly,researcher_home,spoiled,grabcut_center_rectangle,0.31802056760204084,False,1,0.9193239795918368,False,E:\Thesis Code\training_outputs\segmentation_experiment\masks\002_pork_belly_sample_3_spoiled_grabcut_center_rectangle_mask.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\002_pork_belly_sample_3_spoiled_grabcut_center_rectangle_black.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\002_pork_belly_sample_3_spoiled_grabcut_center_rectangle_gray.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\002_pork_belly_sample_3_spoiled_grabcut_center_rectangle_mean.png
E:\Thesis Code\Pork Belly - Sample 3\Spoiled - 16 to 36 hours\20260429_201427.jpg,pork_belly_sample_3,belly,researcher_home,spoiled,threshold_plus_grabcut_refinement,0.5158442283163265,True,1,0.9701849489795918,False,E:\Thesis Code\training_outputs\segmentation_experiment\masks\002_pork_belly_sample_3_spoiled_threshold_plus_grabcut_refinement_mask.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\002_pork_belly_sample_3_spoiled_threshold_plus_grabcut_refinement_black.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\002_pork_belly_sample_3_spoiled_threshold_plus_grabcut_refinement_gray.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\002_pork_belly_sample_3_spoiled_threshold_plus_grabcut_refinement_mean.png
E:\Thesis Code\Pork Belly - Sample 4\Fresh - 0 to 6 hours\20260429_065044.jpg,pork_belly_sample_4,belly,partner_home,fresh,hsv_lab_threshold,0.6476403061224489,True,1,0.9994419642857143,False,E:\Thesis Code\training_outputs\segmentation_experiment\masks\003_pork_belly_sample_4_fresh_hsv_lab_threshold_mask.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\003_pork_belly_sample_4_fresh_hsv_lab_threshold_black.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\003_pork_belly_sample_4_fresh_hsv_lab_threshold_gray.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\003_pork_belly_sample_4_fresh_hsv_lab_threshold_mean.png
E:\Thesis Code\Pork Belly - Sample 4\Fresh - 0 to 6 hours\20260429_065044.jpg,pork_belly_sample_4,belly,partner_home,fresh,hsv_lab_rgb_threshold,0.6476403061224489,True,1,0.9994419642857143,False,E:\Thesis Code\training_outputs\segmentation_experiment\masks\003_pork_belly_sample_4_fresh_hsv_lab_rgb_threshold_mask.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\003_pork_belly_sample_4_fresh_hsv_lab_rgb_threshold_black.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\003_pork_belly_sample_4_fresh_hsv_lab_rgb_threshold_gray.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\003_pork_belly_sample_4_fresh_hsv_lab_rgb_threshold_mean.png
E:\Thesis Code\Pork Belly - Sample 4\Fresh - 0 to 6 hours\20260429_065044.jpg,pork_belly_sample_4,belly,partner_home,fresh,grabcut_center_rectangle,0.39449139030612246,False,1,0.9855707908163265,False,E:\Thesis Code\training_outputs\segmentation_experiment\masks\003_pork_belly_sample_4_fresh_grabcut_center_rectangle_mask.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\003_pork_belly_sample_4_fresh_grabcut_center_rectangle_black.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\003_pork_belly_sample_4_fresh_grabcut_center_rectangle_gray.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\003_pork_belly_sample_4_fresh_grabcut_center_rectangle_mean.png
E:\Thesis Code\Pork Belly - Sample 4\Fresh - 0 to 6 hours\20260429_065044.jpg,pork_belly_sample_4,belly,partner_home,fresh,threshold_plus_grabcut_refinement,0.5256895727040817,True,1,0.9816645408163265,False,E:\Thesis Code\training_outputs\segmentation_experiment\masks\003_pork_belly_sample_4_fresh_threshold_plus_grabcut_refinement_mask.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\003_pork_belly_sample_4_fresh_threshold_plus_grabcut_refinement_black.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\003_pork_belly_sample_4_fresh_threshold_plus_grabcut_refinement_gray.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\003_pork_belly_sample_4_fresh_threshold_plus_grabcut_refinement_mean.png
E:\Thesis Code\Pork Belly - Sample 4\Not fresh - 6 to 12 hours\20260429_141500.jpg,pork_belly_sample_4,belly,partner_home,not fresh,hsv_lab_threshold,0.6947943239795918,True,1,0.9980867346938775,False,E:\Thesis Code\training_outputs\segmentation_experiment\masks\004_pork_belly_sample_4_not_fresh_hsv_lab_threshold_mask.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\004_pork_belly_sample_4_not_fresh_hsv_lab_threshold_black.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\004_pork_belly_sample_4_not_fresh_hsv_lab_threshold_gray.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\004_pork_belly_sample_4_not_fresh_hsv_lab_threshold_mean.png
E:\Thesis Code\Pork Belly - Sample 4\Not fresh - 6 to 12 hours\20260429_141500.jpg,pork_belly_sample_4,belly,partner_home,not fresh,hsv_lab_rgb_threshold,0.6947943239795918,True,1,0.9980867346938775,False,E:\Thesis Code\training_outputs\segmentation_experiment\masks\004_pork_belly_sample_4_not_fresh_hsv_lab_rgb_threshold_mask.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\004_pork_belly_sample_4_not_fresh_hsv_lab_rgb_threshold_black.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\004_pork_belly_sample_4_not_fresh_hsv_lab_rgb_threshold_gray.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\004_pork_belly_sample_4_not_fresh_hsv_lab_rgb_threshold_mean.png
E:\Thesis Code\Pork Belly - Sample 4\Not fresh - 6 to 12 hours\20260429_141500.jpg,pork_belly_sample_4,belly,partner_home,not fresh,grabcut_center_rectangle,0.4327367665816326,False,1,0.9909917091836735,False,E:\Thesis Code\training_outputs\segmentation_experiment\masks\004_pork_belly_sample_4_not_fresh_grabcut_center_rectangle_mask.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\004_pork_belly_sample_4_not_fresh_grabcut_center_rectangle_black.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\004_pork_belly_sample_4_not_fresh_grabcut_center_rectangle_gray.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\004_pork_belly_sample_4_not_fresh_grabcut_center_rectangle_mean.png
E:\Thesis Code\Pork Belly - Sample 4\Not fresh - 6 to 12 hours\20260429_141500.jpg,pork_belly_sample_4,belly,partner_home,not fresh,threshold_plus_grabcut_refinement,0.6266143176020408,True,1,0.9958545918367347,False,E:\Thesis Code\training_outputs\segmentation_experiment\masks\004_pork_belly_sample_4_not_fresh_threshold_plus_grabcut_refinement_mask.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\004_pork_belly_sample_4_not_fresh_threshold_plus_grabcut_refinement_black.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\004_pork_belly_sample_4_not_fresh_threshold_plus_grabcut_refinement_gray.png,E:\Thesis Code\training_outputs\segmentation_experiment\previews\004_pork_belly_sample_4_not_fresh_threshold_plus_grabcut_refinement_mean.png
